id;nom;statut;type;sources;catalyseurs;comportement;valeurs;limites;visuel;condition_tardive
EVO_013;Banc de requins missiles;CO;EVOLUTION;"[""JUT_029""]";"[""PAS_053""]";"4 requins chercheurs par salve ; chaque morsure Trempe.";"4 × (2 × 20) ; délai 1,4 s";—;Requins en formation serrée, sillages croisés.;
EVO_014;Raz-de-marée;CO;EVOLUTION;"[""JUT_030""]";"[""PAS_048""]";"Deux vagues successives (7 m puis 10 m) ; l'inondation reste 6 s et les ennemis y sont ralentis de 30 %.";"60 + 40 ; recul 3 m ; délai 8,0 s";Recul réduit dans les zones alliées.;Vague de 32 px à écume en crochets, sol inondé animé.;
EVO_015;Lame d'eau infinie;CO;EVOLUTION;"[""JUT_034""]";"[""PAS_020""]";"Jet maintenu 1 s qui balaie 90° ; traverse les obstacles bas et hauts.";"30 par tick de 0,2 s ; longueur 14 m ; délai 3,0 s";—;Ligne blanche de 3 px, brume en bordure, entaille au sol.;
EVO_016;Mille aiguilles mortelles;CO;EVOLUTION;"[""JUT_043""]";"[""PAS_008""]";"Trois couronnes d'aiguilles sur 3 cibles ; critique garanti sur cible Trempée.";"3 × 12 × 5 ; délai 2,4 s";—;Aiguilles blanches en couronnes décalées.;
EVO_017;Requin dévoreur de chakra;CO;EVOLUTION;"[""JUT_046""]";"[""EQP_023""]";"Le grand requin absorbe les projectiles ennemis et le chakra des ennemis traversés (+1 chakra chacun) ; explosion finale proportionnelle.";"50 ; explosion 40 + 8 par absorption ; délai 7 s";Plafond de chakra global.;Requin de 40 px, gueule qui aspire des particules bleues.;
EVO_018;Chidori — Mille oiseaux hurlants;CO;EVOLUTION;"[""JUT_049""]";"[""PAS_023""]";"L'image de frappe enchaîne 3 cibles (4 m entre chacune) ; chaque impact décharge en arc de 2 m.";"3 × 80 ; décharge 30 ; délai 2,4 s";—;Filaments épais, cri d'oiseaux en crescendo.;
EVO_019;Shiden (Éclair violet);OA;EVOLUTION;"[""JUT_050""]";"[""PAS_043""]";"Trait de foudre plus fin et plus long (7 m) qui frappe l'élite ou le boss en priorité ; +50 % contre eux.";"120 (180 élite/boss) ; délai 3,0 s";—;Foudre violette à cœur blanc, contour clair.;
EVO_020;Pluie des mille oiseaux;CO;EVOLUTION;"[""JUT_052""]";"[""PAS_007""]";"3 rafales de 8 aiguilles, chaque rafale vers une cible différente ; toutes Électrisent.";"3 × 8 × 8 ; délai 1,2 s";Électrisé : délai interne par cible respecté.;Aiguilles blanches en salves décalées.;
EVO_021;Lance tournoyante des mille oiseaux;CO;EVOLUTION;"[""JUT_053""]";"[""PAS_003""]";La lance de 10 m effectue un tour complet (360°) autour du joueur.;"30 par tick de 0,2 s ; durée 1,0 s ; délai 3,0 s";Obstacles hauts : la lance se raccourcit.;Lame zigzag qui balaie un cercle, traînée de 4 frames.;
EVO_022;Kirin — Orage perpétuel;CO;EVOLUTION;"[""JUT_054""]";"[""EQP_034""]";"Le nuage reste en place après la foudre et lance des éclairs secondaires 4 s ; la construction passe à 4 s.";"150 ; éclairs 20 × 10 ; délai 12 s";Micro-pause locale uniquement.;Nuage d'orage permanent à contour clair, bête de foudre plus grande (80 px).;
EVO_023;Meute de foudre;CO;EVOLUTION;"[""JUT_055""]";"[""PAS_053""]";"3 chiens de foudre ; chacun peut enchaîner 5 éliminations.";"3 × 40 ; délai 2,2 s";—;Chiens électriques en meute, traînées croisées.;
EVO_024;Tempête ramifiée;CO;EVOLUTION;"[""JUT_059""]";"[""EQP_019""]";"L'éclair se divise en 2 à chaque saut (max 16 cibles) ; −8 % par saut.";"26 ; 4 générations ; délai 1,4 s";Jamais deux fois la même cible.;Arbre de foudre construit génération par génération (0,03 s).;
EVO_025;Panthères jumelles;CO;EVOLUTION;"[""JUT_057""]";"[""PAS_050""]";"Deux panthères noires ; chaque cible clouée Électrise ses voisins à 2 m.";"2 × 50 ; Étourdi 1 s ; délai 3,5 s";—;Panthères noires à contour jaune épais, arcs violets.;
EVO_026;Châtiment de foudre;CO;EVOLUTION;"[""JUT_072""]";"[""PAS_019""]";Chaque coup reçu déclenche une chaîne de 6 cibles et accorde 1 s de −30 % dégâts subis.;"50 ; délai interne 1,2 s";Réduction comptée dans le plafond de 60 %.;Éclairs depuis le contour du joueur, bouclier crépitant bref.;
EVO_027;Daikamaitachi (Grande faux de la belette);AV;EVOLUTION;"[""JUT_074""]";"[""EQP_020""]";"Deux croissants de 160° partent en V et tranchent 4 fois ; les Entaillés à 3 cumuls sont projetés.";"4 × 14 ; délai 2,2 s";—;Rubans blancs plus épais, feuilles hachées en pluie.;
EVO_028;Percée-tornade;CO;EVOLUTION;"[""JUT_073""]";"[""PAS_003""]";La bourrasque devient une tornade horizontale qui avance 8 m en aspirant puis rejette les ennemis sur les côtés.;"30 ; recul latéral 3 m ; délai 2,6 s";Recul réduit dans les zones alliées.;Colonne de vent horizontale à bandes, débris.;
EVO_029;Rafale de vide;CO;EVOLUTION;"[""JUT_075""]";"[""PAS_006""]";"7 balles de vide en éventail ; chacune éclate en fin de course en onde de 1,5 m.";"22 ; éclatement 12 ; délai 1,0 s";—;Sphères déformantes, anneaux d'éclatement.;
EVO_030;Ouragan;CO;EVOLUTION;"[""JUT_081""]";"[""PAS_005""]";"Tornade géante (r 3 m) qui erre 8 s et soulève tous les ordinaires ; aspire les projectiles ennemis ordinaires.";"12 par tick de 0,3 s ; délai 12 s";"Élites non soulevées ; 1 ouragan.";Entonnoir de 64 px, débris et feuilles orbitaux.;
EVO_031;Tourbillon de lames;CO;EVOLUTION;"[""JUT_080""]";"[""PAS_024""]";"8 lames permanentes qui alternent entre 1,5 m et 3 m (respiration de 2 s) ; Entaillé.";"12 ; permanente";—;Croissants blancs en couronne respirante.;
EVO_032;Miroir de vent;CO;EVOLUTION;"[""JUT_085""]";"[""PAS_051""]";La bulle dure 2 s toutes les 5 s et renvoie les projectiles vers l'ennemi le plus proche (pas forcément le tireur) avec ×3.;"Renvoi ×3 ; délai 5 s";Télégraphes de boss non renvoyés.;Sphère striée plus dense, reflets.;
EVO_033;Canon à air;CO;EVOLUTION;"[""JUT_079""]";"[""PAS_009""]";Balle d'air lourde : critique garanti sur la première cible, cône arrière élargi (90°, 5 m).;"60 ; cône 30 ; délai 1,6 s";—;Balle à onde de choc visible, poussière en éventail.;
EVO_034;Forteresse de terre;CO;EVOLUTION;"[""JUT_097""]";"[""PAS_011""]";"Trois murs en demi-cercle (ouvert à l'avant) ; les ennemis qui les frappent reçoivent des éclats ; Armure +3 près d'un mur.";"Émergence 30 ; éclats 12 ; PV 300 par mur ; délai 9 s";Toujours ouverte sur 120° et à ≥ 2 m des obstacles.;Murs à strates plus épais, créneaux.;
EVO_035;Dragon de terre ancestral;CO;EVOLUTION;"[""JUT_098""]";"[""PAS_025""]";Le dragon reste 4 s et crache 8 boulets en rafale vers les groupes.;"8 × 30 (r 1,5 m) ; Ensablé +1 ; délai 7 s";—;Tête de 32 px plus détaillée, boulets en cascade.;
EVO_036;Marais sans fond;CO;EVOLUTION;"[""JUT_099""]";"[""PAS_048""]";"Marais de 6 m qui suit lentement le groupe le plus dense ; engloutit les ordinaires sous 35 %.";"12 par tick de 0,5 s ; durée 6 s ; délai 10 s";Élites ralenties 40 %.;Sol violacé mouvant, remous.;
EVO_037;Étoile de pics;CO;EVOLUTION;"[""JUT_105""]";"[""PAS_006""]";5 lignes de pics partent en étoile autour du joueur.;"5 lignes × 7 pics × 30 ; délai 2,6 s";1 touche par cible par ligne.;Étoile de fissures en zigzag, pics anguleux.;
EVO_038;Poing de montagne;CO;EVOLUTION;"[""JUT_107""]";"[""PAS_027""]";"Le poing géant écrase un cône de 4 m puis une onde de terre de 5 m ; les ennemis projetés percutent les autres.";"110 ; onde 40 ; collision 20 ; délai 2,4 s";—;Poing de pierre de 32 px, déformation du sol, poussière dirigée.;
EVO_039;Colosse de roche;CO;EVOLUTION;"[""JUT_115""]";"[""PAS_029""]";Golem permanent, plus grand, dont chaque frappe au sol crée une colonne de roche.;"Frappe 60 (r 3 m) ; permanente";"1 golem ; héritage ANIMAL.";Golem de 48 px, blocs gravés.;
EVO_040;Gravité écrasante;CO;EVOLUTION;"[""JUT_102""]";"[""PAS_050""]";"Alourdit 3 cibles à la fois ; l'écrasement crée une zone de gravité 2 s (−40 % vitesse).";"3 × 90 ; délai 4,5 s";—;Cubes de glyphes multiples, sol enfoncé.;
EVO_041;Mokuton — Shinrin Kōtan (Forêt profonde);OA;EVOLUTION;"[""JUT_121""]";"[""PAS_048""]";"Forêt de 8 m qui pousse en vague depuis le joueur ; les arbres Entravent puis restent 6 s comme obstacles pour les ennemis (pas pour le joueur).";"70 ; 8 par tick de 0,5 s ; délai 11 s";Couloirs de 2 m toujours laissés libres autour du joueur.;Troncs épais à feuillage dense en parallaxe, couloirs visibles.;
EVO_042;Dragon de bois dévorant;CO;EVOLUTION;"[""JUT_126""]";"[""PAS_026""]";Le dragon absorbe le chakra : chaque cible enserrée rend 2 chakra et donne +5 % dégâts au dragon (max +50 %).;"60 ; délai 6 s";Plafond de chakra global.;Dragon de 64 px, gueule qui mord, veines de chakra.;
EVO_043;Palais de miroirs;CO;EVOLUTION;"[""JUT_127""]";"[""PAS_050""]";"Deux cercles de miroirs simultanés ; les ennemis Gelés dans un cercle éclatent en éclats de glace.";"10 par aiguille ; 20 aiguilles/s par cercle ; éclats 30 ; délai 9 s";—;Miroirs plus hauts à reflets du joueur.;
EVO_044;Cercueil de sable de masse;CO;EVOLUTION;"[""JUT_131""]";"[""EQP_003""]";"Enveloppe jusqu'à 6 ennemis proches de la cible puis les broie ensemble ; le sable reste en surface.";"6 × 90 ; surface SABLE 4 s ; délai 3,5 s";Boss : Vulnérable +15 % 2 s.;Six colonnes de sable qui se referment en même temps (son groupé).;
EVO_045;Shukaku no Tate (Bouclier de Shukaku);AV;EVOLUTION;"[""JUT_134""]";"[""PAS_051""]";"Charges de sable jusqu'à 4 ; chaque charge absorbe un coup (quel qu'il soit, hors télégraphe majeur) et contre-frappe en zone de 2 m.";"Contre 40 ; recharge 3 s par charge";Télégraphes majeurs : réduits de 50 %.;Flux de sable plus dense, silhouette de tanuki esquissée au blocage.;
EVO_046;Réseau de sable de fer;CO;EVOLUTION;"[""JUT_136""]";"[""PAS_026""]";"Les aiguilles restent dans l'air 2 s en réseau ; les ennemis qui traversent le réseau sont Aimantés et blessés.";"14 ; réseau 10 par tick ; délai 1,4 s";1 réseau actif.;Réseau de lignes noires à reflets violets.;
EVO_047;Nuée d'argile;CO;EVOLUTION;"[""JUT_147""]";"[""PAS_049""]";"8 créatures d'argile par salve ; les mines au sol se déplacent vers les ennemis proches.";"30 (r 1,5 m) ; délai 1,4 s";Max 10 mines.;Araignées et oiseaux blancs en essaim.;
EVO_048;Détonation en chaîne;CO;EVOLUTION;"[""JUT_149""]";"[""EQP_007""]";La grande bombe laisse 6 petites bombes qui explosent en cascade vers l'extérieur.;"140 ; 6 × 40 ; délai 16 s";Pas de flash plein écran.;Explosion en dôme puis chapelet de 6 explosions.;
EVO_049;Cirque laser total;CO;EVOLUTION;"[""JUT_151""]";"[""PAS_007""]";"16 faisceaux qui rebondissent 3 fois ; les cibles Trempées reçoivent 2 faisceaux.";"18 ; délai 1,8 s";Max 3 faisceaux par cible.;Faisceaux blanc-cyan anguleux, nuage gris qui les émet au-dessus du joueur.;
EVO_050;Enton — Lame du brasier éternel;CO;EVOLUTION;"[""JUT_154""]";"[""EQP_028""]";"Arc de 220° à 3,5 m ; chaque coup laisse une ligne de flammes noires 2 s au sol.";"55 ; Brûlure noire +2 ; ligne 10 par tick ; délai 1,4 s";—;Lame noire plus longue, contour blanc, ligne sombre au sol à liseré rouge.;
EVO_051;Lac de lave;CO;EVOLUTION;"[""JUT_143""]";"[""PAS_048""]";"Les globes fusionnent en lacs de 3 m qui s'étendent 1 s ; ennemis Corrodés et ralentis de 30 %.";"Impact 40 ; lac 14 par tick de 0,5 s ; durée 5 s ; délai 2,6 s";Max 3 lacs.;Lacs incandescents à croûte craquelée qui s'élargissent.;
EVO_052;Soleil desséchant;CO;EVOLUTION;"[""JUT_140""]";"[""PAS_026""]";"3 orbes par lancer ; à la mort d'une cible asséchée, l'orbe éclate en vapeur brûlante (r 2 m).";"14 → 24 par s ; éclatement 40 ; délai 2,6 s";—;Trois orbes blancs à anneaux de vapeur.;
EVO_053;Cube primordial;CO;EVOLUTION;"[""JUT_159""]";"[""PAS_003""]";Le cube s'étend à 5 m et laisse un cube résiduel 2 s qui désintègre les ordinaires qui y entrent.;"160 ; résiduel 20 par tick ; délai 14 s";Pas de flash plein écran.;Cube plus grand à double arête, quadrillage animé.;
EVO_054;Konoha Daisenpū (Grand tourbillon de la feuille);OA;EVOLUTION;"[""JUT_161""]";"[""PAS_027""]";"Balayage à 360° en 3 rotations (bas, milieu, haut) ; la troisième projette en l'air (compatible Kage Buyō).";"3 × 22 ; délai 1,0 s";—;Trois arcs de poussière superposés, feuilles aspirées.;
EVO_055;Lotus de la jeunesse;CO;EVOLUTION;"[""JUT_162""]";"[""PAS_054""]";"Saisit 2 cibles l'une après l'autre ; l'écrasement crée un cratère qui étourdit les ordinaires 1 s.";"2 × 140 ; cratère 50 (r 3 m) ; délai 7 s";Boss : frappe verticale 140 + Vulnérable +15 %.;Bandages en double vrille, cratère en étoile.;
EVO_056;Paon flamboyant;CO;EVOLUTION;"[""JUT_167""]";"[""PAS_042""]";"Rafale de 24 coups en éventail de 120° ; chaque élimination pendant la rafale ajoute 2 coups (max +12).";"24 × 10 ; Brûlure +1 par 3 coups ; délai 4,5 s";Ne compte pas comme Katon.;Queue de paon enflammée complète derrière le joueur.;
EVO_057;Dix mille poings;CO;EVOLUTION;"[""JUT_177""]";"[""PAS_002""]";"Rafale continue de 20 coups sur la cible et ses voisins à 1,5 m ; la dernière frappe éjecte.";"20 × 8 ; éjection 30 ; délai 1,4 s";—;Poings en éventail d'images rémanentes, étoiles d'impact.;
EVO_058;Floraison tectonique;CO;EVOLUTION;"[""JUT_175""]";"[""PAS_059""]";"Le poing fend le sol en étoile à 5 branches ; chaque branche soigne le joueur de 1 PV par ennemi touché (plafond).";"Poing 90 ; branches 5 × 30 ; délai 2,4 s";Soin dans le plafond §B4.5.;Pétales de cerisier stylisés dans les fissures.;
EVO_059;Liger Bomb (Bombe du tigre-lion);OA;EVOLUTION;"[""JUT_172""]";"[""PAS_023""]";La charge saisit la première élite (ou ordinaire) et l'écrase au sol avec une onde électrique de 3 m.;"Charge 50 ; écrasement 130 ; onde 40 ; délai 4,0 s";Boss : pas de saisie, frappe 130.;Silhouette qui soulève la cible, éclairs en dôme.;
EVO_060;Tempête de kunai;CO;EVOLUTION;"[""JUT_185""]";"[""EQP_002""]";"3 éventails de 5 kunai vers 3 cibles ; les kunai plantés au sol explosent 1 s plus tard (étiquette).";"18 ; explosion 14 (r 1 m) ; délai 0,9 s";Max 15 kunai plantés.;Kunai en triple éventail, étiquettes qui grésillent.;
EVO_061;Moulin démoniaque;CO;EVOLUTION;"[""JUT_187""]";"[""PAS_003""]";Deux grands shuriken en orbite large (4 m) pendant 5 s, puis lancés en ligne droite.;"30 par passage ; lancer 50 ; délai 6 s";—;Shuriken de 24 px, sifflement, ombres au sol.;
EVO_062;Mille étiquettes;CO;EVOLUTION;"[""JUT_189""]";"[""PAS_049""]";5 kunai à étiquette autour du groupe le plus dense, détonation simultanée.;"5 × 50 (r 2 m) ; délai 2,5 s";Son groupé en un seul événement.;Étiquettes en couronne, explosion en fleur.;
EVO_063;Corbeau d'acier;CO;EVOLUTION;"[""JUT_202""]";"[""PAS_046""]";Karasu se démultiplie en 3 parties volantes qui attaquent 3 cibles différentes (poison).;"3 × 22 + Empoisonné +1 ; intervalle 0,6 s ; permanente";Compte 1 unité du plafond.;Tête, torse et bras séparés reliés par fils.;
EVO_064;Queue de scorpion d'acier;CO;EVOLUTION;"[""JUT_205""]";"[""PAS_045""]";La queue fouette en cercle complet (3,5 m) et projette des aiguilles empoisonnées toutes les 2 s.;"30 + Empoisonné +2 ; aiguilles 8 × 6 ; permanente";—;Queue à segments d'acier, aiguilles violettes.;
EVO_065;Couperet du démon;CO;EVOLUTION;"[""JUT_197""]";"[""PAS_058""]";"Balayage 270° à 3,5 m ; la réparation de la lame monte à +60 % et ne se perd plus.";"70 ; délai 2,0 s";—;Lame plus grande, arc lourd, éclats métalliques.;
EVO_066;Samehada éveillée;CO;EVOLUTION;"[""JUT_198""]";"[""PAS_041""]";L'épée mord : chaque coup vole 1 chakra et 1 PV (plafonds globaux) et grossit l'épée (+10 % portée, max +50 %).;"50 ; délai 1,4 s";Plafonds de chakra et de vol de vie.;Épée à gueule et écailles hérissées, langue.;
EVO_067;Kusanagi — Lame qui s'allonge;CO;EVOLUTION;"[""JUT_199""]";"[""PAS_058""]";"Estoc qui s'allonge à 9 m et revient ; balaie 30° au retour.";"60 aller ; 30 retour ; délai 1,2 s";—;Lame fine étirée, reflet qui court le long.;
EVO_068;Mille dragons d'acier;CO;EVOLUTION;"[""JUT_193""]";"[""EQP_002""]";"Quatre rouleaux ; la pluie couvre 7 m et les armes plantées forment un champ de chausse-trapes 4 s.";"48 armes × 12 ; champ 6 par pas ; délai 6 s";—;Quatre hélices de rouleaux, pluie d'armes dense.;
EVO_069;Kage Bunshin — Rasengan des clones coordonnés;CO;EVOLUTION;"[""JUT_217""]";"[""PAS_060""]";"Plafond de 4 clones ; toutes les 6 s, les clones convergent sur une cible prioritaire et frappent ensemble d'un Rasengan (signal commun discret).";"Frappe 30 ; Rasengan coordonné 4 × 50 ; durée 6 s ; délai 4 s";"Les clones copient le Rasengan de l'évolution, jamais un effet auto-déclenché ; aucun clone ne crée de clone.";"Anneau bleu discret au sol sous la cible avant la convergence ; 4 orbes synchrones.";
EVO_070;Marée de clones;CO;EVOLUTION;"[""JUT_218""]";"[""PAS_030""]";"Vague de 12 clones en V qui traversent l'écran ; chaque clone frappe 2 fois.";"12 × 2 × 20 ; délai 8 s";Compte 1 unité du plafond.;Rangées de fumée en V, silhouettes en course.;
EVO_071;Gamabunta — Grand combat;CO;EVOLUTION;"[""JUT_224""]";"[""PAS_029""]";Gamabunta reste 12 s, sabre 4 fois et crache un jet d'huile qui peut être embrasé (SYN_003).;"Atterrissage 90 ; sabre 4 × 100 ; délai 50 s";1 géant.;Crapaud géant plus détaillé, pipe fumante.;
EVO_072;Meute de Pakkun;CO;EVOLUTION;"[""JUT_229""]";"[""PAS_053""]";Les 8 chiens restent 6 s et changent de cible à chaque immobilisation.;"8 × 20 par morsure ; Entravé 1 s ; délai 10 s";Compte 1 unité.;Chiens identifiables (tailles, couleurs), poussière de course.;
EVO_073;Akamaru adulte;CO;EVOLUTION;"[""JUT_230""]";"[""EQP_032""]";Akamaru double de taille : morsures en zone (1,5 m) et aboiement qui étourdit 0,5 s.;"Morsure 30 ; aboiement 20 ; permanente";—;Chien de 24 px, pelage détaillé.;
EVO_074;Katsuyu — Division de soin;CO;EVOLUTION;"[""JUT_228""]";"[""PAS_059""]";3 limaces sur le joueur : soin 2 PV/s et acide sur 3 cibles.;"Acide 3 × 18 ; soin 2 PV/s ; permanente";Plafond de soin §B4.5.;Trois limaces sur épaules et dos.;
EVO_075;Bestiaire d'encre;CO;EVOLUTION;"[""JUT_235""]";"[""PAS_029""]";Alternance lions (dégâts), serpents (Entravé) et oiseaux (bombardement) à chaque invocation.;"3 unités × 26 ; délai 6 s";Compte 1 unité.;Encre en traits de pinceau distincts par animal.;
EVO_076;Edo Tensei — Légion réanimée;CO;EVOLUTION;"[""JUT_243""]";"[""PAS_057""]";"3 réanimés maximum ; ils explosent en fin de durée (étiquette interne).";"Dégâts × 0,8 ; explosion 50 ; durée 15 s";Jamais de boss réanimé.;Cercueils multiples, fissures grises.;
EVO_077;Narakumi — Vision collective;CO;EVOLUTION;"[""JUT_249""]";"[""PAS_032""]";"Le cône devient un cercle de 5 m ; les ennemis figés sont Vulnérables +20 %.";"10 ; Étourdi 1,2 s ; délai 4,5 s";—;Feuilles tourbillonnant en cercle, silhouettes tremblantes.;
EVO_078;Nuit éternelle;CO;EVOLUTION;"[""JUT_251""]";"[""PAS_032""]";L'obscurité suit le joueur (6 m) : les ennemis dedans sont Aveuglés et reçoivent +15 % de dégâts.;"6 par tick de 0,5 s ; durée 6 s ; délai 9 s";Contour des ennemis et télégraphes conservés.;Tramage sombre mobile, ennemis surlignés.;
EVO_079;Forêt d'illusions enserrantes;CO;EVOLUTION;"[""JUT_250""]";"[""PAS_050""]";"3 arbres illusoires simultanés ; les coups de grâce propagent la terreur (Étourdi 1 s à 2 m).";"3 × 60 (120) ; délai 5 s";—;Branches violettes pâles, fleurs de camélia.;
EVO_080;Épidémie d'illusions;CO;EVOLUTION;"[""JUT_264""]";"[""PAS_032""]";La propagation touche 2 voisins et les confus infligent +30 % aux autres ennemis.;"Confus 2 s ; délai 2,5 s";Propagations max 16 par cycle.;Fils violets ramifiés.;
EVO_081;Hiraishin — Réseau céleste;CO;EVOLUTION;"[""JUT_265""]";"[""PAS_033""]";"6 kunai actifs ; l'image-éclair frappe les ennemis sur les segments entre kunai (pas seulement autour).";"30 autour ; 20 sur segments ; toutes les 2 s";—;Réseau de traits jaunes entre kunai.;
EVO_082;Réseau d'étiquettes infini;CO;EVOLUTION;"[""JUT_270""]";"[""PAS_049""]";Grille 5 × 5 qui se reforme 3 s après la cascade (2 cycles).;"30 par étiquette ; délai 7 s";1 grille.;Grille plus grande, cascade en vague diagonale.;
EVO_083;Grand sceau du mal;CO;EVOLUTION;"[""JUT_267""]";"[""PAS_033""]";"Scelle 3 élites à la fois ; les ordinaires dans le sceau sont éliminés sous 30 %.";"20 ; affaiblissement 8 s ; délai 10 s";Boss : −25 % dégâts 5 s.;Cercle de formule plus grand, trois cibles reliées.;
EVO_084;Ōdama Rasengan (Grand orbe tourbillonnant);OA;EVOLUTION;"[""JUT_281""]";"[""PAS_060""]";Orbe géant (24 px) : l'impact repousse en onde de 3,5 m et laisse les ennemis Vulnérables +10 % 3 s.;"Impact 120 ; onde 45 ; délai 2,0 s";Le personnage reste visible (orbe tenu à bout de bras, contour conservé).;Orbe à 3 couches de rotation, anneaux de pression doubles.;
EVO_085;Kagemane — Toile d'ombres;CO;EVOLUTION;"[""JUT_282""]";"[""PAS_050""]";"L'ombre se ramifie en 5 branches et lie jusqu'à 6 cibles ; les liés partagent 20 % des dégâts reçus.";"Lié 2,5 s ; partage 20 % (SECONDAIRE) ; délai 4,5 s";Profondeur de partage 1.;Toile noire plate à bords nets.;
EVO_086;Essaim royal;CO;EVOLUTION;"[""JUT_291""]";"[""PAS_029""]";"Deux essaims (unités logiques) ; les Parasités à 10 cumuls sont dévorés (élimination des ordinaires).";"5 par tick de 0,5 s + Parasité +2 ; permanente";2 unités logiques, insectes décoratifs.;Deux nuées en formation, reine esquissée.;
EVO_087;Hakkeshō Kaiten — Grande rotation;CO;EVOLUTION;"[""JUT_297""]";"[""PAS_051""]";"Dôme de 3,5 m qui dure 1 s ; les projectiles détruits sont renvoyés en éclats.";"50 ; recul 3 m ; délai 5 s";Télégraphes de boss non renvoyés.;Dôme strié plus large, sol creusé profondément.;
EVO_088;Soixante-quatre paumes — Garde des trigrammes;CO;EVOLUTION;"[""JUT_298""]";"[""PAS_002""]";Les 64 frappes créent une garde : les projectiles entrant à 2 m sont détruits pendant l'exécution.;"64 × 4 ; 16 × 4 aux autres ; délai 7 s";—;Octogone lumineux, trails de paumes.;
