id;nom;statut;role;cartes;pv;vitesse;degats;xp;comportement;annonce;elite;modificateur
ENM_017;Sujet maudit enragé;CO;chargeur;"[""MAP_007"", ""MAP_013""]";30;2.4;16;2;Enchaîne 2 charges courtes (4 m) à 0,5 s d'intervalle.;Marques noires sur la peau, spasmes.;;
ENM_018;Rhinocéros invoqué;OA;chargeur;"[""MAP_012"", ""MAP_019""]";44;2.0;18;2;"Charge 12 m à travers les obstacles bas ; ne se retourne qu'après 1 s.";Corne, anneaux de Rinnegan sur le flanc.;;
ENM_019;Lanceur de kunai;CO;tireur;"[""MAP_001"", ""MAP_002"", ""MAP_013""]";14;2.2;6;2;"Reste à 7 m ; lance 1 kunai toutes les 2 s (télégraphe : bras armé 0,5 s).";Holster de cuisse, main levée.;;
ENM_020;Arbalétrier de Gatō;CO;tireur;"[""MAP_002""]";12;2.0;8;2;Vise 1 s (ligne de visée pointillée), tir perçant à 10 m.;Arbalète épaulée, ligne de visée.;;
ENM_021;Ninja d'Oto aux ondes;CO;tireur;"[""MAP_003"", ""MAP_004"", ""MAP_005""]";16;2.2;7;2;Onde sonore en arc de 60° à 6 m toutes les 3 s (ondulation au bras 0,6 s).;Bras métallique percé, ondulations.;;
ENM_022;Marionnette lance-aiguilles;CO;tireur;"[""MAP_008"", ""MAP_004""]";18;1.8;5;2;Éventail de 5 aiguilles empoisonnées toutes les 2,5 s (bouche qui s'ouvre 0,5 s).;Poses mécaniques saccadées, fils coupés visibles.;;
ENM_023;Ninja d'Iwa (projectiles de roche);CO;tireur;"[""MAP_005"", ""MAP_017"", ""MAP_016""]";20;2.0;10;2;Lance un rocher en cloche (ombre au sol qui grossit 0,9 s).;Tenue épaisse, rocher soulevé au-dessus de la tête.;;
ENM_024;Tireur de Kiri;CO;tireur;"[""MAP_010"", ""MAP_006"", ""MAP_018""]";16;2.2;7;2;"Balles d'eau en rafale de 3 ; applique Trempé au joueur (le joueur peut être électrisé par les ennemis Raiton).";Gourde à la ceinture, doigts pointés.;;
ENM_025;Ninja de Suna (vent);CO;tireur;"[""MAP_008"", ""MAP_017""]";16;2.3;6;2;Lame de vent qui traverse les ennemis alliés (ligne 8 m), télégraphe éventail levé 0,6 s.;Petit éventail, foulard de Suna.;;
ENM_026;Ninja d'Ame (aiguilles de pluie);CO;tireur;"[""MAP_012""]";16;2.2;5;2;Ouvre un parapluie (0,8 s) et tire 8 aiguilles en cercle.;Parapluie fermé à la main.;;
ENM_027;Ninja de Kumo (foudre);CO;tireur;"[""MAP_015"", ""MAP_014""]";18;2.3;8;2;Éclair en ligne 9 m après 0,7 s de charge (arc entre ses mains).;Gilet de Kumo, mains rapprochées crépitantes.;;
ENM_028;Sentinelle à fils;CO;controleur;"[""MAP_001"", ""MAP_011""]";18;2.0;4;3;Tend un fil entre deux arbres sur le chemin du joueur : ralentit de 30 % au franchissement (fil visible 1 s avant d'être tendu).;Bobine de fil à la ceinture, gestes de tissage.;;
ENM_029;Ninja de Kiri — Filet d'eau;CO;controleur;"[""MAP_002"", ""MAP_010""]";18;2.1;3;3;Lance un filet d'eau (cercle 2 m annoncé 1 s) qui ralentit de 40 % 2 s.;Filet enroulé sur le bras.;;
ENM_030;Araignée géante;OA;controleur;"[""MAP_003"", ""MAP_005""]";22;2.4;5;3;Crache une toile (zone collante 2,5 m 4 s : −35 % déplacement).;Abdomen gonflé qui se contracte 0,8 s.;;
ENM_031;Joueur de flûte du Son;CO;controleur;"[""MAP_004"", ""MAP_005""]";16;2.0;0;3;Joue 1,5 s (notes visibles) puis allonge de 1 s la recharge d'esquive du joueur pendant 3 s. Ne modifie jamais les commandes.;Flûte aux lèvres, notes qui flottent.;;
ENM_032;Scelleur de la Racine;CO;controleur;"[""MAP_014"", ""MAP_013"", ""MAP_009""]";20;2.1;4;3;Sceau au sol (cercle de 2 m, 1,2 s d'avertissement) : Entrave 0,8 s si le joueur reste dedans.;Pinceau et encre, sceaux dessinés au sol.;;
ENM_033;Ninja d'Iwa alourdisseur;CO;controleur;"[""MAP_017"", ""MAP_006""]";22;1.9;3;3;Glyphe cubique sur le joueur (2 s de télégraphe) : −25 % déplacement 3 s.;Cubes de glyphes flottant autour des mains.;;
ENM_034;Laborantin au gaz;CO;controleur;"[""MAP_007""]";18;2.0;2;3;Nuage vert (3 m) qui réduit la régénération du joueur à 0 pendant 4 s.;Blouse, bonbonne dans le dos.;;
ENM_035;Marionnette à fils ralentisseurs;CO;controleur;"[""MAP_008""]";20;1.8;3;3;Fils vers le joueur (ligne visible 0,8 s) : −30 % déplacement tant que le fil tient (coupé par l'esquive ou à 8 m).;Doigts tendus avec fils bleus visibles.;;
ENM_036;Illusionniste Uchiha fantôme;CO;controleur;"[""MAP_009"", ""MAP_019""]";20;2.2;0;3;Regard (cône 6 m, œil qui s'allume 1 s) : le joueur voit 3 faux ennemis 3 s (sans hitbox, contour violet pâle).;Œil rouge brillant, silhouette translucide.;;
ENM_037;Porte-bouclier de Kiri;CO;protecteur;"[""MAP_010"", ""MAP_018"", ""MAP_002""]";40;1.8;8;4;"Bouclier d'eau frontal (180°) qui bloque les projectiles ; vulnérable de dos ; protège les ennemis derrière lui.";Grand bouclier bleu, pas lents.;;
ENM_038;Gardien de la tour;CO;protecteur;"[""MAP_003"", ""MAP_004""]";44;1.7;9;4;Aura de 3 m : −30 % dégâts subis par les ennemis dedans.;Anneau au sol autour de lui, bâton planté.;;
ENM_039;Ninja du Son au dôme;CO;protecteur;"[""MAP_004"", ""MAP_005""]";42;1.6;8;4;Dresse un dôme de terre (1,5 s) qui protège 5 ennemis 3 s.;Mains au sol, veines de terre.;;
ENM_040;Golem de laboratoire;CO;protecteur;"[""MAP_007""]";60;1.5;12;4;"Collision solide (contour épais) ; absorbe les attaques de zone destinées aux voisins (50 %).";Corps rapiécé, contour épais, pas lourds.;;
ENM_041;Marionnette-bouclier;CO;protecteur;"[""MAP_008""]";46;1.7;7;4;Se place entre le joueur et le tireur le plus proche.;Carapace en éventail repliée.;;
ENM_042;Garde Uchiha spectral;CO;protecteur;"[""MAP_009""]";44;1.8;9;4;Côtes spectrales (mini-Susanoo) : bloque 3 coups puis se brise 3 s.;Côtes translucides rouges autour du buste.;;
ENM_043;Ninja d'Iwa à dôme de terre;CO;protecteur;"[""MAP_017"", ""MAP_015""]";48;1.6;8;4;Durcissement : 3 s de −60 % dégâts subis toutes les 8 s (peau grisée).;Peau qui grisonne 0,5 s avant.;;
ENM_044;Moine-guerrier du Temple;OA;protecteur;"[""MAP_011""]";46;1.9;10;4;"Barrière de prière frontale ; repousse le joueur au contact (0,8 m).";Chapelet, mains jointes.;;
ENM_045;Ninja d'Ame au parapluie;CO;protecteur;"[""MAP_012"", ""MAP_016""]";40;1.8;7;4;Parapluie ouvert au-dessus des voisins : bloque les attaques DIFFERE venant du ciel sur 2 m.;Parapluie ouvert en permanence.;;
ENM_046;Medic-nin de la Racine;CO;soigneur;"[""MAP_013"", ""MAP_014""]";18;2.2;3;3;"Soigne 20 % d'un allié à 5 m toutes les 3 s (rayon vert visible 0,5 s) ; fuit le joueur.";Croix verte sur l'épaule, trousse.;;
ENM_047;Medic-nin mercenaire;CO;soigneur;"[""MAP_002"", ""MAP_006""]";16;2.2;3;3;Soin de zone (3 m) de 10 % toutes les 4 s.;Sacoche de fioles, lueur verte aux mains.;;
ENM_048;Médecin du Son;CO;soigneur;"[""MAP_005"", ""MAP_007""]";18;2.1;3;3;Transfuse : sacrifie 10 % de ses PV pour soigner 30 % à un allié élite.;Tubes reliés à ses bras.;;
ENM_049;Moine guérisseur;CO;soigneur;"[""MAP_006"", ""MAP_011""]";20;2.0;3;3;Aura de régénération (2 m) : +2 % PV/s aux ennemis dedans.;Encens fumant, cercle au sol.;;
ENM_050;Médecin de Suna;CO;soigneur;"[""MAP_008"", ""MAP_017""]";18;2.2;3;3;Antidote : purge les états (Poison, Brûlure) d'un allié toutes les 5 s.;Fioles colorées, geste de pulvérisation.;;
ENM_051;Prêtre du clan;CO;soigneur;"[""MAP_009""]";20;2.0;3;3;Rend un bouclier de 15 PV aux protecteurs.;Robe à éventail brodé.;;
ENM_052;Medic-nin de Kiri;CO;soigneur;"[""MAP_010"", ""MAP_018""]";18;2.3;3;3;"Soin 15 % à distance ; dans l'eau, soin doublé.";Bulles de soin flottantes.;;
ENM_053;Poseur d'étiquettes de la Racine;CO;poseur;"[""MAP_011"", ""MAP_013""]";18;2.4;14;3;Pose des étiquettes (cercle rouge 1,5 m, armement 1 s) sur les trajectoires probables du joueur.;Liasse d'étiquettes, pose accroupie.;;
ENM_054;Ninja d'Ame à étiquettes;CO;poseur;"[""MAP_012""]";18;2.3;12;3;Étiquettes de papier qui flottent 2 s puis explosent.;Papier plié en origami autour de lui.;;
ENM_055;Démineur de Konoha;CO;poseur;"[""MAP_013"", ""MAP_001""]";18;2.4;12;3;Mines de feu (surface feu ennemie 2 s après déclenchement).;Tablier, sac de mines.;;
ENM_056;Poseur de fils de la forêt;CO;poseur;"[""MAP_003""]";16;2.5;10;3;Fils à kunai (ligne 4 m visible) qui se déclenchent au franchissement.;Kunai reliés par fil, lueur d'acier.;;
ENM_057;Laborantin à mines de gaz;CO;poseur;"[""MAP_007""]";18;2.2;8;3;Mines de gaz toxique (Empoisonné +2).;Masque à gaz, bonbonnes.;;
ENM_058;Ninja Uchiha à kunai-pièges;CO;poseur;"[""MAP_009""]";18;2.6;12;3;Kunai plantés en cercle (rayon 3 m) qui se déclenchent ensemble si le joueur entre au centre.;Kunai à fil tenus en éventail.;;
ENM_059;Ninja de Kiri à mines d'eau;CO;poseur;"[""MAP_010"", ""MAP_018""]";18;2.4;10;3;Mines sous les flaques (flaque qui bouillonne 1 s avant).;Gourdes multiples à la ceinture.;;
ENM_060;Zetsu géniteur;OA;invocateur;"[""MAP_016"", ""MAP_020""]";30;1.8;5;4;Fait pousser 3 Zetsu blancs du sol toutes les 6 s (bourgeons visibles 1,5 s).;Corps couvert de bourgeons.;;
ENM_061;Invocateur de serpents;CO;invocateur;"[""MAP_003"", ""MAP_007""]";26;1.9;5;4;Invoque 4 serpents (fumée + sceau 1 s) toutes les 7 s.;Tatouage de contrat au bras, rouleau.;;
ENM_062;Invocateur de chiens de l'enfer;CO;invocateur;"[""MAP_012""]";28;1.9;5;4;Invoque 1 chien qui se divise en 2 à chaque coup reçu (max 4).;Anneaux sur les poignets, sceau au sol.;;
ENM_063;Invocateur de loups des neiges;CO;invocateur;"[""MAP_014""]";26;2.0;5;4;Invoque une meute de 3 loups qui encerclent (jamais sur le joueur).;Hurlement visible (onde), fourrure.;;
ENM_064;Invocateur de corbeaux;CO;invocateur;"[""MAP_009"", ""MAP_015""]";24;2.0;4;4;Nuée de 6 corbeaux qui Aveuglent au contact.;Corbeaux perchés sur les épaules.;;
ENM_065;Invocateur de sangsues;CO;invocateur;"[""MAP_018"", ""MAP_010""]";26;1.8;4;4;Sangsues depuis l'eau qui volent 1 chakra au joueur par contact.;Bocal de sangsues, jambes dans l'eau.;;
ENM_066;Marionnettiste d'Akatsuki;CO;invocateur;"[""MAP_008"", ""MAP_011""]";24;1.8;5;4;"Déploie 2 marionnettes poursuivantes toutes les 8 s ; tuer le marionnettiste coupe les fils.";Fils rouges aux doigts, marionnettes pliées.;;
ENM_067;ANBU de la Racine;CO;assassin;"[""MAP_013"", ""MAP_014"", ""MAP_017""]";22;3.4;18;5;Disparaît (fumée), réapparaît derrière le joueur à 3 m avec un marqueur au sol 0,7 s, puis frappe.;Masque d'animal, posture basse.;;
ENM_068;Ombre de Kamui;CO;assassin;"[""MAP_019"", ""MAP_020""]";24;3.0;20;5;Sort d'une spirale (visible 0,8 s) à 4 m, frappe, repart dans la spirale.;Silhouette spiralée, masque orange.;;
ENM_069;Samouraï-ombre;CO;assassin;"[""MAP_014""]";26;3.2;20;5;Coup de sabre à distance (croissant de 3 m) après 0,6 s de pose.;Kasa (chapeau) bas, lame luisante.;;
ENM_070;Chasseur de primes;CO;assassin;"[""MAP_011"", ""MAP_015""]";24;3.3;16;5;Cible les PV bas : fonce quand le joueur est sous 50 %.;Cicatrices, liste de primes à la ceinture.;;
ENM_071;Assassin de papier d'Ame;CO;assassin;"[""MAP_012"", ""MAP_016""]";20;3.4;16;5;Se replie en papier (invulnérable 0,5 s, visible), réapparaît à 3 m.;Corps aux bords de papier, fleur au cheveux.;;
ENM_072;Ninja chasseur de Kiri;OA;assassin;"[""MAP_002"", ""MAP_010"", ""MAP_013""]";22;3.3;17;5;Lance 3 senbon précis vers la position anticipée du joueur (lignes pointillées 0,5 s).;Masque de chasseur blanc, senbon entre les doigts.;;
ENM_073;Réanimé assassin;CO;assassin;"[""MAP_016"", ""MAP_020""]";30;3.1;18;5;Se reconstitue une fois (fissures) s'il n'est pas tué par un effet de zone.;Peau fissurée grise, yeux noirs.;;
ENM_074;Ninja de la brume sanglante;OA;assassin;"[""MAP_010"", ""MAP_020"", ""MAP_014""]";26;3.2;20;5;Invisible hors 6 m (scintillement à 6 m), attaque tournoyante à 1,5 m.;Scintillement de brume, épée courte.;;
ENM_075;Ninja de Kumo furtif;CO;assassin;"[""MAP_015""]";24;3.6;16;5;Dash électrique en zigzag (2 angles annoncés par des arcs) vers le joueur.;Tenue ajustée, arcs aux pieds.;;
ENM_076;Chūnin instructeur;CO;controleur;"[""MAP_001""]";260;2.4;14;60;"Entrave par fil puis frappe ; le modificateur Contre-attaquant riposte (18) aux 3 premiers coups CONTACT reçus toutes les 5 s (posture de garde visible).";Gilet de chūnin, posture de garde qui brille quand la riposte est prête.;True;Contre-attaquant
ENM_077;Frères démons (Gōzu et Meizu);OA;assassin;"[""MAP_002""]";180;3.2;16;60;"Deux ennemis reliés par une chaîne qui blesse (ligne dangereuse) ; si l'un meurt, l'autre se relève à 50 % sauf s'il meurt dans les 5 s.";Deux silhouettes à gantelets griffus, chaîne tendue entre elles.;True;Chaîne liée
ENM_078;Chef tigre;CO;chargeur;"[""MAP_003""]";320;2.8;20;60;"Bonds successifs ; Enragé : +10 % vitesse et cadence par tranche de 25 % de PV perdus (paliers affichés par sa crinière qui s'embrase).";Tigre à cicatrice, crinière rouge.;True;Enragé
ENM_079;Dosu Kinuta;OA;tireur;"[""MAP_004""]";240;2.3;14;60;"Onde sonore frontale ; Résonance : chaque onde accélère de 20 % pendant 2 s les ennemis qu'elle traverse (anneaux visibles sur eux).";Bandages, bras mélodieux percé.;True;Résonance
ENM_080;Maître barrière du Son;CO;protecteur;"[""MAP_005""]";300;1.8;12;60;"Dresse un carré de barrière violette 8 × 8 m autour d'un groupe ; la barrière bloque les projectiles du joueur ; la toucher au CONTACT la brise en 3 coups.";Tenue à grelots, piliers de flamme violette aux coins.;True;Barrière
ENM_081;Colosse de la cascade;CO;chargeur;"[""MAP_006""]";360;1.9;22;60;"Charge qui laisse une traînée d'eau ; Crue : ses charges étendent les surfaces EAU (qui profitent aussi au joueur).";Corps ruisselant, épaules en rochers.;True;Crue
ENM_082;Sujet maudit (niveau 2);CO;poursuivant;"[""MAP_007""]";280;2.8;18;60;À 50 % de PV, mute (1 s d'invulnérabilité visible) : ailes-mains et attaque à distance en cône.;Marques noires qui s'étendent, peau grise.;True;Mutation
ENM_083;Marionnette à trois bras;CO;tireur;"[""MAP_008""]";260;2.0;14;60;"Rafales d'aiguilles ; Dédoublement : à 50 %, se sépare en 2 marionnettes à 35 % chacune.";Trois bras articulés, fils rouges.;True;Dédoublement
ENM_084;Fantôme Uchiha;CO;controleur;"[""MAP_009""]";260;2.4;16;60;Copie la dernière technique PROJECTILE du joueur et la relance en version ennemie (dégâts ennemis, couleur ennemie, contour épais).;Sharingan brillant, silhouette translucide.;True;Copie
ENM_085;Épéiste de la brume;CO;assassin;"[""MAP_010""]";240;3.2;22;60;"Invisible hors 5 m (scintillement) ; frappe tournoyante ; se révèle 2 s après chaque attaque.";Grande épée, brume qui s'enroule.;True;Invisible
ENM_086;Chasseur de primes vétéran;CO;assassin;"[""MAP_011""]";280;3.0;18;60;"Poursuit ; Vampire : se soigne de 100 % des dégâts qu'il inflige (appliquer Poison/Brûlure réduit ce soin de 50 %).";Faux, aura rouge sombre.;True;Vampire
ENM_087;Gardien d'Ame;CO;protecteur;"[""MAP_012""]";320;1.8;12;60;"Parapluie de métal frontal qui renvoie les projectiles du joueur (en couleur ennemie) ; vulnérable de dos.";Parapluie métallique à reflets.;True;Réflecteur
ENM_088;Renard de chakra;CO;chargeur;"[""MAP_013""]";300;3.0;20;60;"Charges en arc ; Brasier : aura de feu (1,5 m), immunisé à la Brûlure (mais pas aux dégâts Katon).";Renard de chakra rouge, queue flamboyante.;True;Brasier
ENM_089;Garde de la Racine;CO;controleur;"[""MAP_014""]";260;2.4;14;60;Sceau au sol de 4 m : dans la zone, le gain de chakra du joueur est suspendu (la jauge ne baisse jamais).;Langue marquée d'un sceau, pinceau.;True;Sceau anti-chakra
ENM_090;Capitaine samouraï;OA;protecteur;"[""MAP_014""]";380;2.0;20;60;"Iai en arc ; Blindé frontal : −70 % dégâts reçus de face (arc de 120°), plein dégâts de dos.";Armure lourde, plastron doré.;True;Blindé frontal
ENM_091;Ninja de Kumo chargé;CO;chargeur;"[""MAP_015""]";280;2.8;18;60;"Charges électriques ; Surcharge : à la mort, explosion électrique de 3 m après 1 s (cercle d'avertissement).";Corps traversé d'arcs, pulsations.;True;Surcharge
ENM_092;Commandant Zetsu;CO;invocateur;"[""MAP_016"", ""MAP_020""]";300;2.0;12;60;"Fait pousser des Zetsu ; Multiplication : chaque Zetsu tué près de lui le soigne de 3 %.";Zetsu plus grand, bourgeons dorés.;True;Multiplication
ENM_093;Shinobi réanimé;OA;poursuivant;"[""MAP_016"", ""MAP_020""]";260;2.8;18;60;Se reconstitue 2 fois à 30 % (fissures), sauf s'il est Marqué/Scellé ou tué par un EXPLOSIF.;Peau fissurée, sclérotiques noires, papier talisman sur la tête.;True;Reconstitution
ENM_094;Général d'Iwa;CO;controleur;"[""MAP_017""]";320;1.8;16;60;"Cubes d'alourdissement ; Gravité : aura de 4 m qui ralentit les projectiles du joueur de 40 %.";Glyphes cubiques en orbite.;True;Gravité
ENM_095;Sangsue géante;CO;invocateur;"[""MAP_018""]";340;1.6;12;60;"Invoque des sangsues ; Absorption : vole 3 chakra au joueur par contact de ses sangsues.";Corps gonflé luisant, ventouse.;True;Absorption
ENM_096;Zetsu noir;OA;assassin;"[""MAP_019"", ""MAP_020""]";260;3.0;16;60;"Se fond dans le sol et réapparaît sous un autre ennemi qu'il renforce (+50 % dégâts) ; se détache s'il subit 30 % de PV.";Masse noire liquide, yeux jaunes.;True;Parasite
ENM_097;Ombre de Kamui supérieure;CO;assassin;"[""MAP_019"", ""MAP_020""]";280;3.0;20;60;Téléporte un ennemi ordinaire près du joueur toutes les 4 s (spirale 0,8 s, jamais sur le joueur).;Masque spiral, main tendue.;True;Téléporteur
ENM_098;Gardien des racines divines;CO;protecteur;"[""MAP_020""]";380;1.5;18;60;Racines qui Entravent le joueur 0,6 s si ses pieds restent dans le cercle annoncé 1 s.;Corps d'écorce, racines pulsantes.;True;Enracinement
ENM_099;Kage réanimé;OA;tireur;"[""MAP_020""]";360;2.2;22;60;"Tire au sort (graine) un comportement élémentaire rare : lave, sable d'or, poussière (cube lent télégraphié 2 s) ; l'élément est affiché par une icône.";Chapeau de Kage, talisman, icône d'élément.;True;Kekkei genkai
ENM_100;Clone de chakra du Dix-Queues;CO;invocateur;"[""MAP_020""]";400;2.0;20;60;"Crée des clones blancs ; Démon à queues : tous les 25 % de PV, une mini-orbe (télégraphe 1,2 s, ligne 10 m).";Silhouette blanche à cornes, queues courtes.;True;Démon à queues
