id;nom;type;mode;carte;personnage;rang;condition;recompenses;dependances
MIS_023;Défi de clan — Nara;defi_clan;Standard;MAP_011;TOUS;C;Lier 300 ennemis par l'ombre dans une run.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Stratège »""}";"[""MIS_011""]"
MIS_024;Défi de clan — Akimichi;defi_clan;Standard;MAP_005;TOUS;C;Éliminer 500 ennemis au CONTACT.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Cosmétique Akimichi""}";"[""MIS_005""]"
MIS_025;Défi de clan — Yamanaka;defi_clan;Standard;MAP_013;TOUS;C;Faire éliminer 200 ennemis par des ennemis confus.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Esprit »""}";"[""MIS_013""]"
MIS_026;Défi de clan — Aburame;defi_clan;Standard;MAP_003;TOUS;C;Déclencher 100 Éclosions.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Cosmétique : lunettes noires""}";"[""MIS_003""]"
MIS_027;Défi de clan — Inuzuka;defi_clan;Standard;MAP_001;TOUS;C;Avoir 3 unités ANIMAL simultanées pendant 60 s.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Meute »""}";"[""MIS_002""]"
MIS_028;Défi de clan — Uzumaki;defi_clan;Standard;MAP_013;TOUS;B;Terminer avec un sceau et une technique d'héritage (Rasengan).;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""Relance +1 (permanent)""}";"[""MIS_013""]"
MIS_029;Défi de clan — Senju;defi_clan;Standard;MAP_020;TOUS;B;Couvrir 300 cellules de BOIS simultanément.;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""Cosmétique : armure Senju""}";"[""MIS_020""]"
MIS_030;Défi de clan — Kaguya;defi_clan;Standard;MAP_005;TOUS;B;Parer 150 projectiles.;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""Doctrine « Danse des os »""}";"[""MIS_005""]"
MIS_031;Défi de clan — Hōzuki;defi_clan;Standard;MAP_010;TOUS;B;Terminer sans jamais subir de dégâts de contact deux fois en 3 s.;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""Cosmétique : gourde""}";"[""MIS_010""]"
MIS_032;Défi de clan — Sarutobi;defi_clan;Standard;MAP_001;TOUS;B;Posséder 4 affinités élémentaires différentes à 15:00.;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""Doctrine « Professeur »""}";"[""MIS_012""]"
MIS_033;Défi élémentaire — Katon;defi_element;Standard;MAP_013;TOUS;C;"Pool restreint aux techniques E_KATON + OUTIL ; vaincre le boss.";"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Flamme »""}";"[""MIS_013""]"
MIS_034;Défi élémentaire — Suiton;defi_element;Standard;MAP_010;TOUS;C;"Pool Suiton + OUTIL ; vaincre le boss.";"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Marée »""}";"[""MIS_010""]"
MIS_035;Défi élémentaire — Raiton;defi_element;Standard;MAP_015;TOUS;C;"Pool Raiton + OUTIL ; vaincre le boss.";"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Foudre »""}";"[""MIS_015""]"
MIS_036;Défi élémentaire — Fūton;defi_element;Standard;MAP_008;TOUS;C;"Pool Fūton + OUTIL ; vaincre le boss.";"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Vent »""}";"[""MIS_008""]"
MIS_037;Défi élémentaire — Doton;defi_element;Standard;MAP_017;TOUS;C;"Pool Doton + OUTIL ; vaincre le boss.";"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Terre »""}";"[""MIS_017""]"
MIS_038;Défi élémentaire — Conduction;defi_element;Standard;MAP_012;TOUS;B;Déclencher 500 Conductions.;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""Archive de synergie SYN_001 complète""}";"[""MIS_012""]"
MIS_039;Défi élémentaire — Embrasement;defi_element;Standard;MAP_003;TOUS;B;Embraser 2 000 cellules d'huile.;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""EQP_029 ajouté au pool des Rouleaux""}";"[""MIS_003""]"
MIS_040;Défi élémentaire — Affinités rares;defi_element;Standard;MAP_016;TOUS;B;Terminer avec 3 techniques de famille RARE.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""Doctrine « Lignée »""}";"[""MIS_016""]"
MIS_041;Défi élémentaire — Cinq natures;defi_element;Standard;MAP_016;TOUS;A;Activer SYN_071 avant 15:00.;"{""ryo"": 550, ""deblocages"": [], ""autres"": ""EQP_033 ajouté au pool""}";"[""MIS_016""]"
MIS_042;Défi élémentaire — Sans élément;defi_element;Standard;MAP_004;TOUS;B;Terminer avec uniquement des techniques E_NEUTRE.;"{""ryo"": 450, ""deblocages"": [], ""autres"": ""Doctrine « Corps et outils »""}";"[""MIS_004""]"
MIS_043;Boss Rush — Pays des Vagues à l'examen;boss_rush;BossRush;MAP_004;TOUS;C;Enchaîner BOS_002, BOS_001, BOS_003, BOS_004.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""Passage +1 (permanent)""}";"[""MIS_020""]"
MIS_044;Boss Rush — Akatsuki I;boss_rush;BossRush;MAP_012;TOUS;B;Enchaîner Deidara, Sasori, Hidan, Kakuzu.;"{""ryo"": 650, ""deblocages"": [], ""autres"": ""Cosmétique : anneau""}";"[""MIS_043""]"
MIS_045;Boss Rush — Akatsuki II;boss_rush;BossRush;MAP_012;TOUS;B;Enchaîner Kisame, Itachi, Konan, Pain.;"{""ryo"": 700, ""deblocages"": [], ""autres"": ""Bannissement +1 (permanent)""}";"[""MIS_044""]"
MIS_046;Boss Rush — Géants;boss_rush;BossRush;MAP_020;TOUS;A;Enchaîner Shukaku, Sanbi, Hachibi, Kurama.;"{""ryo"": 750, ""deblocages"": [], ""autres"": ""Cosmétique : sceau""}";"[""MIS_045""]"
MIS_047;Boss Rush — Guerre;boss_rush;BossRush;MAP_016;TOUS;A;Enchaîner Kinkaku et Ginkaku, Mū, Hanzō, Obito.;"{""ryo"": 800, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_046""]"
MIS_048;Boss Rush — Légendes;boss_rush;BossRush;MAP_020;TOUS;S;Enchaîner Danzō, Madara, Madara (Dix-Queues).;"{""ryo"": 1000, ""deblocages"": [], ""autres"": ""Titre « Légende »""}";"[""MIS_047""]"
MIS_049;Draft — Premier tirage;draft;Draft;MAP_002;TOUS;C;"Mode Draft : avant la run, choisir 6 techniques parmi 12 proposées (compatibles) ; aucune nouvelle technique en jeu ; vaincre le boss.";"{""ryo"": 500, ""deblocages"": [], ""autres"": ""Mode Draft permanent""}";"[""MIS_006""]"
MIS_050;Draft — Sans passifs;draft;Draft;MAP_006;TOUS;B;"Draft ; passifs limités à 3.";"{""ryo"": 550, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_049""]"
MIS_051;Draft — Aveugle;draft;Draft;MAP_011;TOUS;B;Draft : les 6 techniques sont tirées sans voir leur nom (icônes seules).;"{""ryo"": 550, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_049""]"
MIS_052;Draft — Recette imposée;draft;Draft;MAP_012;TOUS;B;Réaliser la fusion proposée par le draft avant 16:00.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""Indice de fusion aléatoire en Archives""}";"[""MIS_049""]"
MIS_053;Draft — Équipe de trois;draft;Draft;MAP_016;TOUS;A;Trois runs courtes enchaînées avec trois entrées différentes (les deux autres donnent 1 passif chacune à la troisième).;"{""ryo"": 800, ""deblocages"": [], ""autres"": ""Cosmétique : bannière d'équipe""}";"[""MIS_050""]"
MIS_054;Draft — Maître du hasard;draft;Draft;MAP_020;TOUS;S;Draft rang S sans Relance ni Bannissement.;"{""ryo"": 900, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_053""]"
MIS_055;Expédition — Terrains d'entraînement;expedition;Expedition;MAP_001;TOUS;C;Terminer l'expédition courte (12 min).;"{""ryo"": 250, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_001""]"
MIS_056;Expédition — Pont;expedition;Expedition;MAP_002;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 250, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_002""]"
MIS_057;Expédition — Forêt de la Mort;expedition;Expedition;MAP_003;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 250, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_003""]"
MIS_058;Expédition — Stade;expedition;Expedition;MAP_004;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 250, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_004""]"
MIS_059;Expédition — Forêt frontalière;expedition;Expedition;MAP_005;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 250, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_005""]"
MIS_060;Expédition — Vallée de la Fin;expedition;Expedition;MAP_006;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_006""]"
MIS_061;Expédition — Suna;expedition;Expedition;MAP_008;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_008""]"
MIS_062;Expédition — Kiri;expedition;Expedition;MAP_010;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_010""]"
MIS_063;Expédition — Amegakure;expedition;Expedition;MAP_012;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_012""]"
MIS_064;Expédition — Plaine de la guerre;expedition;Expedition;MAP_016;TOUS;C;Terminer l'expédition courte.;"{""ryo"": 350, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_016""]"
MIS_065;Endless — 30 minutes;endless;Endless;MAP_016;TOUS;C;Tenir 30 min en Endless.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_020""]"
MIS_066;Endless — 45 minutes;endless;Endless;MAP_016;TOUS;C;Tenir 45 min.;"{""ryo"": 700, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_065""]"
MIS_067;Endless — 60 minutes;endless;Endless;MAP_020;TOUS;C;Tenir 60 min.;"{""ryo"": 900, ""deblocages"": [], ""autres"": ""Cosmétique : aura d'endurance""}";"[""MIS_066""]"
MIS_068;Endless — Chasse aux boss;endless;Endless;MAP_020;TOUS;B;Vaincre 5 boss tournants dans une même partie Endless.;"{""ryo"": 800, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_065""]"
MIS_069;Endless — Sans soin;endless;Endless;MAP_012;TOUS;B;Tenir 30 min sans soin (Régénération comprise).;"{""ryo"": 800, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_065""]"
MIS_070;Endless — Dix mille;endless;Endless;MAP_016;TOUS;B;Éliminer 10 000 ennemis en une partie.;"{""ryo"": 900, ""deblocages"": [], ""autres"": ""Titre « Catastrophe naturelle »""}";"[""MIS_065""]"
MIS_071;Et si… Minato défendait le pont;hors_chrono;Standard;MAP_002;CHR_041;B;Vaincre Zabuza avec Minato en rang B.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""Cosmétique : cape de Hokage alternative""}";"[""MIS_141""]"
MIS_072;Et si… Haku rencontrait Gaara;hors_chrono;Standard;MAP_004;CHR_053;B;Vaincre Gaara avec Haku.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_153""]"
MIS_073;Et si… les Sannin se retrouvaient;hors_chrono;Standard;MAP_003;CHR_027;B;Vaincre Orochimaru avec Jiraiya en rang B.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_127""]"
MIS_074;Et si… Itachi protégeait Konoha;hors_chrono;Standard;MAP_013;CHR_031;A;Vaincre Kurama avec Itachi.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_131""]"
MIS_075;Et si… Guy affrontait Madara plus tôt;hors_chrono;Standard;MAP_020;CHR_045;A;Vaincre Madara avec Guy sans la Porte de la mort.;"{""ryo"": 800, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_145""]"
MIS_076;Et si… le Tsuchikage défiait le joueur;hors_chrono;Standard;MAP_017;TOUS;A;Vaincre Ōnoki (boss de mission).;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_017""]"
MIS_077;Et si… Kushina gardait la nuit;hors_chrono;Standard;MAP_013;CHR_077;A;Vaincre Kurama avec Kushina.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""Cosmétique""}";"[""MIS_177""]"
MIS_078;Et si… Sasori revenait à Suna;hors_chrono;Standard;MAP_008;CHR_037;B;Vaincre Deidara (lieutenant promu boss) avec Sasori.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_137""]"
MIS_079;Et si… Hashirama visitait la Vallée;hors_chrono;Standard;MAP_006;CHR_059;A;Vaincre le rival avec Hashirama.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_159""]"
MIS_080;Et si… Pain frappait Kiri;hors_chrono;Standard;MAP_010;CHR_039;A;Vaincre Kisame avec Pain.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_139""]"
MIS_081;Et si… Killer Bee chantait au Pays des Vagues;hors_chrono;Standard;MAP_002;CHR_058;B;Terminer avec 100 coups sur le 4e temps.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_158""]"
MIS_082;Et si… Kakashi ANBU surveillait Orochimaru;hors_chrono;Standard;MAP_007;CHR_010;A;Vaincre Kabuto avec Kakashi ANBU.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_110""]"
MIS_083;Et si… Tobirama sondait le lac;hors_chrono;Standard;MAP_018;CHR_060;A;Vaincre Sanbi avec Tobirama.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_160""]"
MIS_084;Et si… Shisui arrêtait la guerre;hors_chrono;Standard;MAP_016;CHR_078;S;Vaincre Kinkaku et Ginkaku avec Shisui en rang S.;"{""ryo"": 800, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_178""]"
MIS_085;Et si… Konohamaru passait l'examen;hors_chrono;Standard;MAP_004;CHR_079;C;Vaincre Gaara avec Konohamaru.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Cosmétique : écharpe""}";"[""MIS_179""]"
MIS_086;Maîtrise — Première évolution;systeme;Standard;MAP_002;TOUS;D;Réaliser une évolution.;"{""ryo"": 200, ""deblocages"": [], ""autres"": ""Écran des recettes dans les Archives""}";"[""MIS_002""]"
MIS_087;Maîtrise — Première fusion;systeme;Standard;MAP_004;TOUS;C;Réaliser une fusion.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""Indice de fusion""}";"[""MIS_086""]"
MIS_088;Maîtrise — Premier éveil;systeme;Standard;MAP_012;TOUS;B;Réaliser un éveil.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_087""]"
MIS_089;Maîtrise — Rouleau interdit;systeme;Standard;MAP_007;TOUS;C;Accepter un Rouleau interdit et terminer la run.;"{""ryo"": 300, ""deblocages"": [""EQP_036""], ""autres"": ""EQP_036 ajouté au pool des Rouleaux interdits""}";"[""MIS_007""]"
MIS_090;Maîtrise — Vingt synergies;systeme;Standard;MAP_012;TOUS;C;Découvrir 20 synergies différentes (cumul).;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Quatrième carte (Voie du quatrième sceau) achetable""}";"[""MIS_086""]"
MIS_091;Maîtrise — Quarante synergies;systeme;Standard;MAP_016;TOUS;B;Découvrir 40 synergies (cumul).;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""Relance +1 (permanent)""}";"[""MIS_090""]"
MIS_092;Maîtrise — Contrôle du hasard;systeme;Standard;MAP_003;TOUS;C;Utiliser 5 Bannissements dans une run et vaincre le boss.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_045""]"
MIS_093;Maîtrise — Survie;systeme;Standard;MAP_005;TOUS;C;Déclencher Kawarimi 3 fois et survivre.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_005""]"
MIS_094;Maîtrise — Géant;systeme;Standard;MAP_009;TOUS;B;Éliminer 100 ennemis avec une invocation géante.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_009""]"
MIS_095;Maîtrise — Transformations;systeme;Standard;MAP_013;TOUS;B;Utiliser 10 transformations différentes (cumul).;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_013""]"
MIS_096;Maîtrise — Pacifiste temporaire;systeme;Standard;MAP_001;TOUS;D;Survivre la première minute sans éliminer d'ennemi (esquive seule).;"{""ryo"": 150, ""deblocages"": [], ""autres"": ""Option d'assistance « déplacement seul » expliquée""}";"[""MIS_001""]"
MIS_097;Maîtrise — Tous les rôles;systeme;Standard;MAP_016;TOUS;B;Éliminer au moins 50 ennemis de chacun des 9 rôles en une run.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""—""}";"[""MIS_016""]"
MIS_098;Maîtrise — Collection d'équipements;systeme;Standard;MAP_008;TOUS;C;Obtenir 25 équipements différents (cumul).;"{""ryo"": 500, ""deblocages"": [""EQP_031""], ""autres"": ""—""}";"[""MIS_008""]"
MIS_099;Maîtrise — Archives complètes du rang C;systeme;Standard;MAP_004;TOUS;C;Vaincre les 10 premiers boss au rang C.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""Rang C+ en Boss Rush""}";"[""MIS_010""]"
MIS_100;Maîtrise — Cent recettes;systeme;Standard;MAP_020;TOUS;A;Découvrir 100 recettes (évolutions, fusions, éveils).;"{""ryo"": 1500, ""deblocages"": [], ""autres"": ""Prestige optionnel""}";"[""MIS_088""]"
MIS_101;Maîtrise — Naruto Uzumaki;maitrise;Standard;MAP_001;CHR_001;D;Atteindre le niveau de maîtrise 2 avec Naruto.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""Technique de départ alternative et cosmétique de maîtrise""}";"[""MIS_001""]"
MIS_102;Maîtrise avancée — Naruto — Mode Ermite;recrutement;Standard;MAP_009;CHR_001;B;Avec Naruto (maîtrise 4) : rester immobile au total 120 s pendant une run réussie.;"{""ryo"": 250, ""deblocages"": [""CHR_002""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_009""]"
MIS_103;Maîtrise avancée — Naruto — Chakra de Kurama;recrutement;Standard;MAP_013;CHR_001;B;Avec Naruto (maîtrise 7) : vaincre Kurama.;"{""ryo"": 250, ""deblocages"": [""CHR_003""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_013""]"
MIS_104;Maîtrise — Sasuke Uchiha;maitrise;Standard;MAP_001;CHR_004;D;Atteindre le niveau de maîtrise 2 avec Sasuke.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""Technique de départ alternative et cosmétique de maîtrise""}";"[""MIS_001""]"
MIS_105;Maîtrise avancée — Sasuke — Taka;recrutement;Standard;MAP_007;CHR_004;B;Avec Sasuke (maîtrise 4) : vaincre Kabuto avec une technique OUTIL de mêlée équipée.;"{""ryo"": 250, ""deblocages"": [""CHR_005""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_007""]"
MIS_106;Maîtrise avancée — Sasuke — Mangekyō éternel;recrutement;Standard;MAP_009;CHR_004;B;Avec Sasuke (maîtrise 7) : vaincre Itachi.;"{""ryo"": 250, ""deblocages"": [""CHR_006""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_009""]"
MIS_107;Maîtrise — Sakura Haruno;maitrise;Standard;MAP_001;CHR_007;D;Atteindre le niveau de maîtrise 2 avec Sakura.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""Technique de départ alternative et cosmétique de maîtrise""}";"[""MIS_001""]"
MIS_108;Maîtrise — Kakashi Hatake;maitrise;Standard;MAP_001;CHR_008;D;Atteindre le niveau de maîtrise 2 avec Kakashi.;"{""ryo"": 300, ""deblocages"": [], ""autres"": ""Technique de départ alternative et cosmétique de maîtrise""}";"[""MIS_001""]"
MIS_109;Maîtrise avancée — Kakashi — Kamui;recrutement;Standard;MAP_019;CHR_008;B;Avec Kakashi (maîtrise 6) : éliminer 300 ennemis par Kamui.;"{""ryo"": 250, ""deblocages"": [""CHR_009""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_019""]"
MIS_110;Maîtrise avancée — Kakashi — ANBU;recrutement;Standard;MAP_014;CHR_008;B;Avec Kakashi (maîtrise 3) : terminer une run avec 50 éliminations de dos.;"{""ryo"": 250, ""deblocages"": [""CHR_010""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_014""]"
MIS_111;Maîtrise avancée — Sakura — Byakugō;recrutement;Standard;MAP_016;CHR_007;B;Avec Sakura (maîtrise 5) : soigner 3 000 PV en une run.;"{""ryo"": 250, ""deblocages"": [""CHR_011""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_016""]"
MIS_112;Recrutement — Gaara;recrutement;Standard;MAP_004;TOUS;C;Vaincre Gaara (n'importe quelle entrée).;"{""ryo"": 250, ""deblocages"": [""CHR_012""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_004""]"
MIS_113;Maîtrise avancée — Gaara — Kazekage;recrutement;Standard;MAP_008;CHR_012;B;Avec Gaara (maîtrise 5) : vaincre Sasori.;"{""ryo"": 250, ""deblocages"": [""CHR_013""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_008"", ""MIS_112""]"
MIS_114;Recrutement — Rock Lee;recrutement;Standard;MAP_004;TOUS;C;Éliminer 1 000 ennemis au CONTACT (cumul, toutes entrées).;"{""ryo"": 250, ""deblocages"": [""CHR_014""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_003""]"
MIS_115;Maîtrise avancée — Rock Lee — Poing ivre;recrutement;Standard;MAP_004;CHR_014;B;Avec Rock Lee (maîtrise 3) : terminer une run en ouvrant 5 Portes.;"{""ryo"": 250, ""deblocages"": [""CHR_015""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_004"", ""MIS_114""]"
MIS_116;Recrutement — Neji Hyūga;recrutement;Standard;MAP_004;TOUS;C;Vaincre Gaara sans subir plus de 10 projectiles au boss.;"{""ryo"": 250, ""deblocages"": [""CHR_016""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_004""]"
MIS_117;Recrutement — Hinata Hyūga;recrutement;Standard;MAP_004;TOUS;C;Terminer une run en ayant bloqué 100 projectiles (boucliers).;"{""ryo"": 250, ""deblocages"": [""CHR_017""], ""autres"": ""Fiche d'Archives du personnage""}";"[""MIS_004""]"
