id;nom;personnage;techniques;evolutions;passifs;equipements;transformation;ordre;remplacements;fenetre;faiblesse;difficulte
BLD_011;Portes et Lotus;CHR_014;"[""JUT_161"", ""JUT_162"", ""JUT_163"", ""JUT_166"", ""JUT_167"", ""JUT_182""]";"[""EVO_055"", ""EVO_056"", ""EVO_119""]";"[""PAS_054"", ""PAS_042"", ""PAS_027"", ""PAS_004"", ""PAS_013"", ""PAS_039""]";"[""EQP_022"", ""EQP_010""]";TRF_009;"Reppū ; Entrée dynamique ; Lotus primaire vers 5 min ; Paon du matin vers 9 min ; Kage Buyō après les projections ; EVO_055 et EVO_056 vers 14 min ; éveil Lotus de la Porte avec 6 Portes.";"[""JUT_163 → JUT_177"", ""PAS_039 → PAS_015""]";"En créneaux (Portes) ; très forte fin de run.";"Coût en PV des Portes ; vulnérable pendant l'Épuisement.";4
BLD_012;Sanctuaire rotatif;CHR_016;"[""JUT_297"", ""JUT_296"", ""JUT_298"", ""JUT_299"", ""JUT_312"", ""JUT_176""]";"[""EVO_087"", ""EVO_088"", ""EVO_094""]";"[""PAS_051"", ""PAS_002"", ""PAS_047"", ""PAS_034"", ""PAS_004"", ""PAS_035""]";"[""EQP_011"", ""EQP_006""]";;"Rotation (défense) ; Jūken ; 64 paumes vers 5 min ; Paume du vide pour la distance ; Byakugan vers 7 min ; trois évolutions entre 12 et 17 min.";"[""JUT_176 → JUT_161"", ""EQP_006 → EQP_035""]";"Sûr au milieu ; excellent contre élites marquées.";Peu de dégâts de zone lointaine.;2
BLD_013;Affaiblissement de masse;CHR_017;"[""JUT_296"", ""JUT_297"", ""JUT_298"", ""JUT_299"", ""JUT_312"", ""JUT_161"", ""JUT_181""]";"[""EVO_106"", ""EVO_088""]";"[""PAS_002"", ""PAS_034"", ""PAS_051"", ""PAS_019"", ""PAS_047"", ""PAS_054""]";"[""EQP_030"", ""EQP_035""]";;"Jūken partout (affaiblit) ; Rotation ; 64 paumes ; Byakugan ; fusion Rotation du vide vers 13 min (libère → Posture de fer) ; EVO_088 vers 16 min.";"[""JUT_161 → JUT_176"", ""EQP_030 → EQP_022""]";Défense excellente, dégâts moyens constants.;Élimination lente des grandes hordes avant 10 min.;2
BLD_014;Exécution des ombres;CHR_019;"[""JUT_282"", ""JUT_283"", ""JUT_284"", ""JUT_014"", ""JUT_270"", ""JUT_192""]";"[""EVO_085"", ""EVO_082""]";"[""PAS_050"", ""PAS_049"", ""PAS_012"", ""PAS_033"", ""PAS_034"", ""PAS_005""]";"[""EQP_008"", ""EQP_030""]";;"Imitation d'ombre ; Mines de braise (pièges) sur l'ombre (SYN_016) ; Étranglement ; Couture ; Réseau d'étiquettes vers 8 min ; EVO_085 vers 13 min.";"[""JUT_192 → JUT_209 (Kunai piégé)"", ""EQP_030 → EQP_007""]";Faible tôt, contrôle total au milieu.;"Dégâts directs faibles ; dépend du placement des pièges.";4
BLD_015;Nuée croissante;CHR_021;"[""JUT_291"", ""JUT_292"", ""JUT_293"", ""JUT_176"", ""JUT_191"", ""JUT_245""]";"[""EVO_086""]";"[""PAS_029"", ""PAS_034"", ""PAS_005"", ""PAS_006"", ""PAS_019"", ""PAS_013""]";"[""EQP_004"", ""EQP_008""]";;"Kikaichū dès le départ ; Balles d'insectes pour étendre ; Dôme d'insectes (SYN_022) ; chausse-trapes et Contre-attaque pour la mêlée ; EVO_086 vers 12 min.";"[""JUT_245 → JUT_210"", ""EQP_008 → EQP_014""]";"Démarrage lent ; très fort après 12 min (Ruche, Éclosion).";Aucune explosion : boss isolé long à abattre.;3
BLD_016;Vrilles croisées;CHR_022;"[""JUT_294"", ""JUT_230"", ""JUT_161"", ""JUT_180"", ""JUT_210"", ""JUT_184""]";"[""EVO_089"", ""EVO_073""]";"[""PAS_053"", ""PAS_027"", ""PAS_029"", ""PAS_010"", ""PAS_034"", ""PAS_002""]";"[""EQP_032"", ""EQP_016""]";;"Gatsūga ; Akamaru au niveau 3 (CPX) ; Reppū, Genou volant ; Bombe fumigène + Masque ANBU ; évolutions vers 12–15 min.";"[""JUT_210 → JUT_176"", ""EQP_016 → EQP_005""]";"Bonne mobilité dès 3 min ; pic avec Akamaru adulte.";Couverture arrière dépendante d'Akamaru.;2
BLD_017;Trio de marionnettes;CHR_024;"[""JUT_202"", ""JUT_203"", ""JUT_204"", ""JUT_206"", ""JUT_208"", ""JUT_191"", ""JUT_089""]";"[""EVO_105""]";"[""PAS_046"", ""PAS_045"", ""PAS_029"", ""PAS_028"", ""PAS_005"", ""PAS_019""]";"[""EQP_004"", ""EQP_008""]";;"Karasu ; Kuroari vers 3 min (combo) ; Sanshōuo contre les tireurs ; Aiguilles empoisonnées ; Fils de chakra ; fusion Kiki Ippatsu vers 14 min (libère → Poussière aveuglante).";"[""JUT_191 → JUT_209"", ""EQP_008 → EQP_030""]";Constante, forte contre élites.;Fils rompus au-delà de 9 m : le joueur doit rester proche.;3
BLD_018;Faux de vent;CHR_026;"[""JUT_074"", ""JUT_211"", ""JUT_232"", ""JUT_073"", ""JUT_083"", ""JUT_092""]";"[""EVO_027"", ""EVO_028""]";"[""PAS_024"", ""PAS_003"", ""PAS_002"", ""PAS_001"", ""PAS_009"", ""PAS_010""]";"[""EQP_020"", ""EQP_033""]";;"Kamaitachi ; Frappe d'éventail (réduit les délais) ; Kamatari vers 6 min ; Daitoppa pour dégager ; Courant ascendant ; Rafale arrière ; évolutions vers 13 min.";"[""JUT_092 → JUT_080"", ""EQP_033 → EQP_034""]";Bonne tôt, régulière.;Recul qui disperse les ennemis hors des zones (atténué).;2
BLD_019;Huile et feu du Sannin;CHR_027;"[""JUT_010"", ""JUT_009"", ""JUT_012"", ""JUT_099"", ""JUT_224"", ""JUT_281""]";"[""EVO_004"", ""EVO_036"", ""EVO_084""]";"[""PAS_036"", ""PAS_048"", ""PAS_021"", ""PAS_060"", ""PAS_001"", ""PAS_029""]";"[""EQP_029"", ""EQP_018""]";;"Gamayu Endan ; Endan pour la ligne ; Braises en éventail ; Marais des enfers vers 7 min ; Gamabunta pour les boss ; Rasengan ; trois évolutions entre 12 et 17 min.";"[""JUT_012 → JUT_016 (Fil incandescent)"", ""EQP_018 → EQP_004""]";Forte au milieu grâce aux embrasements.;Pas de transformation (compensé par l'ultime).;2
BLD_020;Talon céleste et régénération;CHR_029;"[""JUT_174"", ""JUT_175"", ""JUT_228"", ""JUT_106"", ""JUT_107"", ""JUT_068""]";"[""EVO_074"", ""EVO_038""]";"[""PAS_059"", ""PAS_027"", ""PAS_015"", ""PAS_013"", ""PAS_004"", ""PAS_054""]";"[""EQP_022"", ""EQP_027""]";TRF_012;"Talon céleste ; Katsuyu ; Ōkashō ; Séisme ; Poing de pierre ; Paume foudroyante pour étourdir ; EVO_074 et EVO_038 vers 13–15 min ; Byakugō au boss.";"[""JUT_068 → JUT_109"", ""EQP_027 → EQP_021""]";"Très sûr ; pic sur le boss sous Byakugō.";"Lenteur ; peu d'outils à distance.";1
BLD_021;Nids de serpents et réanimés;CHR_030;"[""JUT_227"", ""JUT_226"", ""JUT_243"", ""JUT_244"", ""JUT_271"", ""JUT_199""]";"[""EVO_076"", ""EVO_067""]";"[""PAS_057"", ""PAS_058"", ""PAS_045"", ""PAS_029"", ""PAS_033"", ""PAS_015""]";"[""EQP_004"", ""EQP_025""]";;"Mains-serpents ; Kusanagi vers 3 min ; Edo Tensei à la première élite ; Rashōmon avant le lieutenant ; Gogyō Fūin contre les élites à modificateur ; Manda pour le boss ; évolutions vers 13–15 min.";"[""JUT_271 → JUT_267 (Fūja Hōin)"", ""EQP_025 → EQP_022""]";Faible tôt, fort après les premières élites.;"Inactif sans élite vaincue (Edo Tensei) ; démarrage lent.";4
BLD_022;Corbeaux et flammes noires;CHR_031;"[""JUT_223"", ""JUT_309"", ""JUT_308"", ""JUT_001"", ""JUT_219"", ""JUT_307""]";"[""EVO_091"", ""EVO_001"", ""EVO_116""]";"[""PAS_035"", ""PAS_021"", ""PAS_008"", ""PAS_032"", ""PAS_009"", ""PAS_016""]";"[""EQP_035"", ""EQP_025""]";TRF_007;"Clones de corbeaux (leurres) ; Gōkakyū ; Amaterasu vers 5 min ; Hypnose ; Clone explosif ; Tsukuyomi sur les élites ; évolutions vers 13 min ; éveil sous Susanoo.";"[""JUT_307 → JUT_305 (Œil copieur)"", ""EQP_025 → EQP_022 (compense la maladie)""]";"Économe mais décisif ; fort contre élites.";"PV faibles (maladie) ; horde dense avant Amaterasu évolué.";4
BLD_023;Arène aquatique de Kisame;CHR_033;"[""JUT_198"", ""JUT_029"", ""JUT_046"", ""JUT_032"", ""JUT_233"", ""JUT_027""]";"[""EVO_066"", ""EVO_017"", ""EVO_013""]";"[""PAS_041"", ""PAS_053"", ""PAS_022"", ""PAS_048"", ""PAS_016"", ""PAS_015""]";"[""EQP_023"", ""EQP_017""]";TRF_018;"Samehada au contact ; Requin missile ; inondation (Bakusui) vers 6 min ; requins invoqués dans l'eau ; Grand requin vers 9 min ; Prison aqueuse sur les élites ; trois évolutions vers 12–16 min.";"[""JUT_027 → JUT_030"", ""EQP_017 → EQP_022""]";"Fort dès l'inondation ; très résistant.";"Hors de l'eau, les bonus tombent ; les ennemis Raiton profitent eux aussi de l'eau (Kumo, Amegakure).";2
BLD_024;Tapis de mines;CHR_035;"[""JUT_147"", ""JUT_149"", ""JUT_189"", ""JUT_209"", ""JUT_148"", ""JUT_105""]";"[""EVO_047"", ""EVO_048"", ""EVO_062""]";"[""PAS_049"", ""PAS_026"", ""PAS_006"", ""PAS_003"", ""PAS_012"", ""PAS_001""]";"[""EQP_007"", ""EQP_008""]";;"C1 ; étiquettes explosives ; kunai piégés ; Ligne de pics pour la frontale ; C2 vers 8 min ; C3 vers 10 min ; évolutions vers 12–16 min.";"[""JUT_105 → JUT_118 (Rocher rebondissant)"", ""EQP_008 → EQP_034""]";"Moyenne tôt ; excellente contre les hordes au milieu.";Explosions retardées contre chargeurs rapides.;3
BLD_025;Poison maximal;CHR_037;"[""JUT_205"", ""JUT_206"", ""JUT_202"", ""JUT_203"", ""JUT_208"", ""JUT_025""]";"[""EVO_064"", ""EVO_063""]";"[""PAS_045"", ""PAS_046"", ""PAS_029"", ""PAS_005"", ""PAS_019"", ""PAS_022""]";"[""EQP_004"", ""EQP_030""]";;"Hiruko ; Aiguilles ; Karasu vers 4 min (SYN_021) ; Kuroari ; Fils de chakra ; Dragon d'eau pour la ligne ; évolutions vers 12–15 min.";"[""JUT_025 → JUT_086 (Croix de vent)"", ""EQP_030 → EQP_008""]";"Lente mais implacable ; excellente contre boss (poison ignore la résistance).";Dégâts directs faibles contre les élites « Vampire » purgées.;3
BLD_026;Répulsion-attraction;CHR_039;"[""JUT_313"", ""JUT_314"", ""JUT_317"", ""JUT_316"", ""JUT_237"", ""JUT_315"", ""JUT_238""]";"[""EVO_112""]";"[""PAS_035"", ""PAS_050"", ""PAS_051"", ""PAS_029"", ""PAS_001"", ""PAS_049""]";"[""EQP_025"", ""EQP_035""]";;"Shinra Tensei ; Bansho Ten'in ; missiles ; Ningendō ; Cerbère vers 7 min ; Gakidō ; fusion Ten'in-Tensei vers 14 min (libère → Rhinocéros).";"[""JUT_316 → JUT_313 évolué (EVO_093) si la fusion est refusée"", ""EQP_035 → EQP_031""]";"Créneaux ; contrôle de l'espace fort au milieu.";Intervalle de 5 s entre répulsions (CPX) à gérer.;3
BLD_027;Réseau de kunai;CHR_041;"[""JUT_265"", ""JUT_266"", ""JUT_281"", ""JUT_185"", ""JUT_189"", ""JUT_059""]";"[""EVO_081"", ""EVO_060"", ""EVO_084""]";"[""PAS_033"", ""PAS_060"", ""PAS_031"", ""PAS_028"", ""PAS_002"", ""PAS_008""]";"[""EQP_002"", ""EQP_024""]";;"Kunai de marquage ; esquive Hiraishin ; Rasengan (SYN_069) ; kunai en éventail qui marquent (SYN_051) ; étiquettes ; Arc en chaîne ; évolutions vers 12–16 min.";"[""JUT_059 → JUT_272"", ""EQP_024 → EQP_034""]";"Forte mobilité dès 3 min ; pic avec le réseau céleste.";Champ vide de kunai = efficacité réduite après une grande dispersion.;4
BLD_028;Extinction par le feu;CHR_043;"[""JUT_007"", ""JUT_216"", ""JUT_001"", ""JUT_006"", ""JUT_318"", ""JUT_073"", ""JUT_004""]";"[""EVO_095"", ""EVO_097""]";"[""PAS_051"", ""PAS_021"", ""PAS_043"", ""PAS_001"", ""PAS_003"", ""PAS_035""]";"[""EQP_018"", ""EQP_025""]";TRF_008;"Gōka Mekkyaku ; Gunbai ; Gōkakyū ; Gōryūka ; Bras de Susanoo vers 8 min ; Daitoppa ; fusion Tempête de feu vers 14 min (libère → Karyū Endan) ; EVO_095 vers 16 min ; Susanoo parfait au boss.";"[""JUT_004 → JUT_022"", ""EQP_025 → EQP_033""]";Montée continue (Danse : +5 % par élite).;"Délais longs ; mobilité défensive faible.";3
BLD_029;Paon, tigre et éléphant;CHR_045;"[""JUT_166"", ""JUT_167"", ""JUT_168"", ""JUT_169"", ""JUT_162"", ""JUT_201"", ""JUT_239""]";"[""EVO_110"", ""EVO_056"", ""EVO_055""]";"[""PAS_042"", ""PAS_054"", ""PAS_027"", ""PAS_004"", ""PAS_010"", ""PAS_013""]";"[""EQP_010"", ""EQP_022""]";TRF_009;"Entrée dynamique ; nunchaku ; Paon vers 4 min ; Lotus ; Hirudora et Sekizō (délais longs) ; fusion Tigre et éléphant vers 15 min (libère → Tortue) ; Portes à chaque élite ; Porte de la mort (TRF_010) en dernier recours manuel.";"[""JUT_201 → JUT_161"", ""EQP_010 → EQP_005""]";"En créneaux (Portes) ; pic démesuré au boss.";"Coûts en PV ; peu de contrôle à distance.";4
BLD_030;Invocations de crapauds;CHR_001;"[""JUT_217"", ""JUT_224"", ""JUT_225"", ""JUT_245"", ""JUT_073"", ""JUT_081""]";"[""EVO_071"", ""EVO_030""]";"[""PAS_029"", ""PAS_005"", ""PAS_053"", ""PAS_030"", ""PAS_056"", ""PAS_024""]";"[""EQP_004"", ""EQP_032""]";TRF_001;"Kage Bunshin ; crapauds de combat vers 3 min (SYN_043) ; clones illusoires ; Tornade errante ; Gamabunta vers 10 min ; évolutions vers 13–16 min.";"[""JUT_245 → JUT_218"", ""EQP_032 → EQP_036 (si débloqué)""]";"Moyenne ; très forte lors des arrivées de Gamabunta.";"Plafond d'unités ; peu de dégâts personnels.";2
BLD_031;Brasier noir façonné;CHR_006;"[""JUT_154"", ""JUT_309"", ""JUT_318"", ""JUT_155"", ""JUT_156"", ""JUT_054"", ""JUT_049""]";"[""EVO_111"", ""EVO_095""]";"[""PAS_026"", ""PAS_035"", ""PAS_051"", ""PAS_021"", ""PAS_008"", ""PAS_023""]";"[""EQP_018"", ""EQP_034""]";TRF_006;"Lame de flammes noires ; Amaterasu ; Bras de Susanoo ; Pointes et Magatama ; Kirin vers 9 min ; fusion Brasier façonné vers 14 min (libère → Chidori) ; EVO_095 vers 16 min.";"[""JUT_155 → JUT_307"", ""EQP_034 → EQP_035""]";Lente au début, dévastatrice après la fusion.;Délais longs au départ.;4
BLD_032;Cercle de miroirs;CHR_053;"[""JUT_128"", ""JUT_127"", ""JUT_129"", ""JUT_190"", ""JUT_043"", ""JUT_080""]";"[""EVO_043"", ""EVO_016""]";"[""PAS_050"", ""PAS_008"", ""PAS_026"", ""PAS_022"", ""PAS_002"", ""PAS_031""]";"[""EQP_011"", ""EQP_015""]";;"Aiguilles de glace ; Senbon (SYN_033) ; Makyō vers 5 min ; Prison de givre ; Mille aiguilles d'eau ; Lames de vent (SYN_030 blizzard) ; évolutions vers 13 min.";"[""JUT_080 → JUT_026"", ""EQP_015 → EQP_031""]";Contrôle excellent au milieu.;"Fragile ; élites « Brasier ».";3
BLD_033;Démon de la brume;CHR_054;"[""JUT_197"", ""JUT_028"", ""JUT_025"", ""JUT_027"", ""JUT_220"", ""JUT_200""]";"[""EVO_065"", ""EVO_012"", ""EVO_009""]";"[""PAS_058"", ""PAS_022"", ""PAS_008"", ""PAS_009"", ""PAS_015"", ""PAS_027""]";"[""EQP_016"", ""EQP_017""]";;"Couperet ; brume (CPX +30 % sur aveuglés) ; Dragon d'eau ; Prison ; clones d'eau ; tantō ; évolutions vers 12–16 min.";"[""JUT_200 → JUT_035"", ""EQP_017 → EQP_006""]";Forte au contact dans la brume.;Tireurs hors de la brume.;2
BLD_034;Forêt vivante;CHR_059;"[""JUT_121"", ""JUT_122"", ""JUT_123"", ""JUT_125"", ""JUT_126"", ""JUT_240"", ""JUT_124""]";"[""EVO_041"", ""EVO_109"", ""EVO_120""]";"[""PAS_048"", ""PAS_026"", ""PAS_013"", ""PAS_050"", ""PAS_055"", ""PAS_015""]";"[""EQP_027"", ""EQP_030""]";TRF_016;"Jukai Kōtan ; Rempart ; Prison ; Monde des arbres en fleurs ; Dragon de bois ; Clone de bois ; fusion Forteresse-prison vers 13 min (libère → Pieux) ; Forêt profonde vers 15 min ; éveil Forêt primordiale en Mode Ermite.";"[""JUT_240 → JUT_097"", ""EQP_030 → EQP_022""]";Sûr, puis domination de terrain.;Boss mobiles qui sortent de la forêt.;3
BLD_035;Champ de lave;CHR_068;"[""JUT_143"", ""JUT_144"", ""JUT_146"", ""JUT_157"", ""JUT_158"", ""JUT_032""]";"[""EVO_051""]";"[""PAS_048"", ""PAS_026"", ""PAS_005"", ""PAS_003"", ""PAS_022"", ""PAS_001""]";"[""EQP_017"", ""EQP_033""]";;"Crachat de lave ; Mur de lave ; brume corrosive (SYN_027) ; Geysers ; inondation (SYN_017 obsidienne) ; Pluie de scories ; EVO_051 vers 13 min.";"[""JUT_032 → JUT_026"", ""EQP_033 → EQP_034""]";"Moyenne ; très forte contre les boss résistants (Corrosion).";Chargeurs rapides qui traversent les zones.;3
BLD_036;Armée de réanimés;CHR_064;"[""JUT_243"", ""JUT_254"", ""JUT_227"", ""JUT_206"", ""JUT_226"", ""JUT_107""]";"[""EVO_076""]";"[""PAS_057"", ""PAS_029"", ""PAS_032"", ""PAS_045"", ""PAS_059"", ""PAS_055""]";"[""EQP_004"", ""EQP_022""]";TRF_013;"Edo Tensei (2 réanimés, CPX) ; Temple du Nirvana ; serpents ; aiguilles ; Manda ; Poing de pierre ; EVO_076 vers 13 min.";"[""JUT_107 → JUT_244"", ""EQP_022 → EQP_025""]";"Dépend des élites ; très forte après 12 min.";Cartes pauvres en élites (Expédition courte).;4
BLD_037;Sept sabres en rythme;CHR_058;"[""JUT_212"", ""JUT_172"", ""JUT_246"", ""JUT_059"", ""JUT_198"", ""JUT_068""]";"[""EVO_059"", ""EVO_066""]";"[""PAS_023"", ""PAS_041"", ""PAS_058"", ""PAS_027"", ""PAS_056"", ""PAS_002""]";"[""EQP_028"", ""EQP_023""]";TRF_014;"Sept sabres (rythme) ; Lariat ; Clone de tentacule ; Arc en chaîne ; Samehada (Bee l'a portée) ; Paume foudroyante ; évolutions vers 13–16 min ; Version 2 au boss.";"[""JUT_068 → JUT_176 (Contre-attaque) pour une riposte plus sûre"", ""EQP_023 → EQP_034""]";"Forte dès 5 min pour un joueur rythmé ; assistée sinon.";Couverture arrière avant la Version 2.;3
